created_at,author_id,geo,text
2022-06-11 12:30:10+00:00,1349149096909668363,,"Today, young people around the country once again march with @AMarch4OurLives to call on Congress to pass commonsense gun safety legislation supported by the majority of Americans and gun owners.
 
I join them by repeating my call to Congress: do something."
2022-06-10 22:22:28+00:00,1349149096909668363,,"Yesterday, I met with Prime Minister Justin Trudeau of Canada and President Jair Bolsonaro of Brazil at the Ninth Summit of the Americas. We’re working together to build a better future for countries throughout the Western Hemisphere. https://t.co/LsDOZ8Bnk9"
2022-06-10 20:54:32+00:00,1349149096909668363,,"Today’s report underscores why I have made fighting inflation my top economic priority.

My Administration will continue to do everything we can to lower prices for the American people, but Congress must act urgently as well. https://t.co/huRV5wa1nm"
2022-06-10 17:47:25+00:00,1349149096909668363,,Tune in as I deliver remarks on tackling inflation and the actions we’ve taken to lower prices and address supply chain challenges.  https://t.co/CTK3z0P0GK
2022-06-10 14:48:37+00:00,1349149096909668363,,It’s an honor to welcome leaders from across the Western Hemisphere for the ninth Summit of the Americas. https://t.co/qdM4h6zJkM
2022-06-09 21:32:53+00:00,1349149096909668363,,Tune in as I deliver remarks at the opening plenary of the Ninth Summit of the Americas. https://t.co/Z59U5ka26j
2022-06-09 18:13:37+00:00,1349149096909668363,,Tune in as I deliver remarks at the CEO Summit of the Americas. https://t.co/pKKicOTlMz
2022-06-09 15:25:49+00:00,1349149096909668363,,"One of the reasons prices have gone up is because a handful of companies who control the market have raised shipping prices by as much as 1,000%. It’s outrageous — and I’m calling on Congress to crack down on them. https://t.co/eLIdQBmskJ"
2022-06-09 14:32:54+00:00,1349149096909668363,,"Fort Hood, Texas in 2009 – 13 dead, more than 30 injured.

Parkland, Florida in 2018 – 17 dead, 17 injured.

Red flag laws could have stopped both shooters."
2022-06-09 00:24:43+00:00,1349149096909668363,,Tune in as the Vice President and I participate in the inaugural ceremony of the Ninth Summit of the Americas. https://t.co/h1h0b8jTN0
2022-06-08 19:45:48+00:00,1349149096909668363,,I’m on my way to Los Angeles to host the Ninth Summit of the Americas. I look forward to working with leaders from across the Western Hemisphere to strengthen our bonds and to address our core challenges — from economic prosperity and climate change to migration and COVID-19. https://t.co/bDndE5gwDo
2022-06-08 16:43:49+00:00,1349149096909668363,,"Congressional Republicans want to raise taxes on working families by $1,500 and put Medicare, Social Security, and Medicaid on the chopping block.
 
I disagree. And I’ll work with anyone to deliver real savings to the American people — not take money out of your pocket."
2022-06-07 23:26:02+00:00,1349149096909668363,,"I’ve long believed we have a sacred obligation to properly train and equip those we send into harm’s way — and to care for them and their families when they return. Today, I signed nine bipartisan bills into law that will honor that obligation and improve care for our veterans. https://t.co/HW17cg0Xgp"
2022-06-07 19:15:45+00:00,1349149096909668363,,Tune in as I sign nine bipartisan bills into law that honor and improve care for veterans. https://t.co/eV9LedBJwx
2022-06-07 18:00:50+00:00,1349149096909668363,,I traveled to the Republic of Korea and Japan last month for my first trip to Asia as president. The alliances between our nations are the cornerstone of a free and open Indo-Pacific – and I look forward to continuing to work together to tackle the shared challenges we face. https://t.co/g6In1yfSaF
2022-06-07 15:47:11+00:00,1349149096909668363,,Enough. https://t.co/Ghw5LsTk5g
2022-06-07 14:04:40+00:00,1349149096909668363,,"The fact is America is in a stronger economic position today than just about any other country in the world.
 
Independent experts have even projected that the U.S. economy could grow faster than China’s economy this year.
 
That hasn’t happened since 1976."
2022-06-07 00:45:59+00:00,1349149096909668363,,"Today, we mark 78 years since D-Day and honor those who answered duty’s call on the beaches of Normandy. We must never forget their service and sacrifice in defense of freedom, and we must strive every day to live up to the ideals they fought to defend. https://t.co/2IRTQN4uEz"
2022-06-06 23:04:04+00:00,1349149096909668363,,"Because of our actions last year, 2021 marked the largest deployment of solar, wind, and batteries in U.S. history. Today, I’m building on that progress by authorizing the Defense Production Act to lower energy costs, strengthen the power grid, and create good-paying jobs."
2022-06-06 22:18:08+00:00,1349149096909668363,,"Folks, applications for the White House Internship Program are now open — and interns will be paid for the first time in recent history. We’re building a class that looks like America and is committed to serving the American people. Learn more: https://t.co/aD5NAGzNci."
2022-06-06 17:00:04+00:00,1349149096909668363,,"Last week, I met with infant formula manufacturers to discuss actions we’re taking to increase supply and how my Administration can continue partnering with them on these efforts. We’re working to ensure that families in every part of the country can get the formula they need. https://t.co/EXCa3Wjv28"
2022-06-06 15:47:01+00:00,1349149096909668363,,"After Columbine,
after Sandy Hook,
after Charleston,
after Orlando,
after Las Vegas,
after Parkland,
nothing has been done.
 
This time, that can’t be true. This time, we must actually do something."
2022-06-06 14:03:20+00:00,1349149096909668363,,"At the time I took office about 16 months ago, the economy had stalled and COVID was out of control.
 
Today, thanks to the economic plan and the vaccination plan that my Administration put into action, America has achieved the most robust recovery in modern history."
2022-06-05 15:00:00+00:00,1349149096909668363,,"Why should an ordinary citizen be able to purchase an assault weapon that holds 30-round magazines and fires hundreds of bullets in minutes?

The damage was so devastating in Uvalde parents had to do DNA swabs to identify remains of their 9- and 10-year old children.  

Enough."
2022-06-05 14:25:00+00:00,1349149096909668363,,"In Texas, you can be 18-years-old and buy an assault weapon – even though you can’t buy a pistol until you’re 21.

If we can’t ban assault weapons as we should, we must at least raise the age to buy assault weapons to 21."
2022-06-04 19:30:01+00:00,1349149096909668363,,"Admiral Linda Fagan made history this week by becoming the first woman to serve as Commandant of the Coast Guard – and the first woman to lead any branch of the Armed Forces. She’s a trailblazer and has demonstrated exceptional skill, integrity, and commitment to our country. https://t.co/dPAwWsT5mD"
2022-06-04 19:00:00+00:00,1349149096909668363,,"One way we can make things better for families is by helping them save on items like their utility bill, their internet bill, their prescription drugs, or their cost of housing.
 
Congress could help ease costs for families right away by taking action."
2022-06-04 16:56:31+00:00,1349149096909668363,,"It was great to meet with you this week at the White House, @bts_bighit. The rise in anti-Asian hate crimes requires all of us to stand up, speak out, and give hate no safe harbor. Thanks for all you’re doing. It matters. https://t.co/R1YpKnO9zA"
2022-06-04 14:10:01+00:00,1349149096909668363,,"I led the world to coordinate the largest release from global oil reserves in history, directed the sale of gasoline using homegrown biofuels this summer, and more.
 
These actions have already helped to blunt what would have been an even larger Putin Price Hike."
2022-06-04 13:12:00+00:00,1349149096909668363,,"We’ve laid an economic foundation that is historically strong.
 
Now we are moving forward to a new moment where we can build a future of stable, steady growth. So we can bring down inflation without sacrificing all of the historic gains we’ve made."
