created_at,text
2022-07-13 19:07:31+00:00,"

Dr. Caitlin Bernard, an Indianapolis OB-GYN, previously told IndyStar that a 10-year-old traveled to Indiana for abortion access."
2022-07-13 18:50:41+00:00,"Think about that. ""Flexing"" about the rape of a 10 year old being confirmed. To someone (me) who wasn't condoning anything of the kind. We really ""FU""'ing people to play goalie for the media now? Hell, my argument was never even about abortion--those battle lines have BEEN drawn. "
2022-07-13 18:48:21+00:00," I never pushed a narrative. I responded to available info. If it was fake, I wanted media held responsible (like I always do). If it was true, I wanted the criminal held responsible. Anyone trying to score points RE: abortion was missing the forest for the trees. As I stated."
2022-07-13 18:45:59+00:00,"Anyone who was using or hoping to use this type of story as fodder for winning points RE: abortion discussion was out of line. Yes, that dragnet includes right wingers and left wingers. IDGAF."
2022-07-13 18:42:13+00:00,"No one's deflecting. My stance was never affected by the story's veracity or lack thereof (as I stated in the thread to which ""FU"" responder replied). There are no winners here. And no points won for either side of the abortion debate. Total tragedy all around. "
2022-07-13 15:53:00+00:00,"  Yes. That's fine by me. I know about it. But, I'm against abortion on demand and any after heartbeat and brain activity."
2022-07-13 15:02:30+00:00,"  ...crisis centers outnumber abortion clinics 3 to 1. Abortionists have tried to have that argument both ways, despite it not holding up to the slightest scrutiny."
2022-07-13 15:00:56+00:00,  They're not bad at all. But here's the kicker: folks agreeing with Warren's take (I know you aren't) are also the same one's who contend that those against abortion don't do anything to help mothers/children. When the OPPOSITE is the case. Hence why the Massachusetts pregnancy...
2022-07-13 14:53:12+00:00,"  There will never be a 100% ban on abortion. Caveats abound, as with most issues. My contention is that the status quo has been untenable because abortionists have pushed to err on the side of the abhorrent. It's backwards to push policy that way."
2022-07-13 14:37:13+00:00,"  Abortion is objectively abhorrent. A scourge. And a gov't ostensibly about ""life"" should err on the side of such and als NOT be actively involved in snuffing out the lives of the most innocent and defenseless among us. But I digress. I'm not ""pro-life,"" I'm anti-abortion."
2022-07-13 14:29:38+00:00," In the minds of too many vocal activists, ""pro-choice"" absolutely means ""abortion."" That's why  was so comfortable espousing such rhetoric RE: pregnancy crisis centers. I'd rather eschew the ""pro-life/pro-choice"" terminology altogether. Word games."
2022-07-13 04:15:37+00:00,"Fellow Republicans. The Democrat judges believe in their principles more than we do. Our judges rolled over to Roe for 50 years. 

We have to do better. 

"
