created_at,text
2022-07-17 19:51:48+00:00,Lets all vote Democrat so pregnant women can be murdered on their way to the corner abortion clinic. 
2022-07-17 06:21:11+00:00,"In Missouri women are chattel

You cant get a divorce while pregnant cuz the fetus is NOT considered a person

But you also cant get an abortion cuz the fetus IS considered a person

Welcome to the lunacy of Christian extremists 

Welcome to ChristoFascist America"
2022-07-17 05:15:21+00:00,"The doctor who cared for the 10-yr-old rape victim was listed as a threat by a militant anti-abortion group tied to Amy Coney Barrett

Her daughter faced kidnapping threats

Amy is also tied to the Christian cult People of Praise

Call them what they are: Religious terrorists"
2022-07-17 04:11:26+00:00,"They said we were hysterical about Roe getting overturned

We just lost our rights

They said we were hysterical about a national abortion ban

Republicans are pushing for 1 now

They said were hysterical about gay marriage going away

Ted Cruz just attacked Obergefell as wrong"
2022-07-17 03:47:43+00:00,"   If the right wing GOP anti abortion would-be- theocracy 
Actually cared about those ""exceptions "" they would have written the laws to account for them."
2022-07-17 03:46:32+00:00,"   This Joe America dude says ""most folks"" ( states a typical anti abortion, gop talking point.)

I protested that MOST folks don't think murdering people in ectopic pregnancies by denying care, or denying cancer patients medication is cool, but apparently the gop does"
2022-07-16 18:12:25+00:00,"abortion: not allowed
adoption: oh yeah you're fake parents "
2022-07-16 17:37:35+00:00,SOUND UP:  says what happens in PA will impact the entire country. Shes here in Philadelphia discussing abortion rights.  
2022-07-16 17:04:10+00:00,"Speaking today in Philly, VP Harris said shes pushing to make Roe federal lawwhich would override states that try to ban abortion.
Recently, the PA legislature passed a joint resolutionproviding there is no right to abortion or funding for an abortion.
  "
2022-07-16 16:11:04+00:00,He'll get a lighter sentence than if he was carrying a 10-year old girl to get an abortion out of state. 
2022-07-16 15:57:31+00:00,I know you are fighting against great odds. VP Harris thanks legislators during roundtable discussion about protecting access to reproductive health care/ abortion.  
2022-07-16 15:54:05+00:00, addressing Pennsylvania lawmakers on issues of reproductive rights and abortion 
2022-07-16 13:58:39+00:00," What are you doing about the denial of essential drugs from sick people because those drugs might be used as well in abortion?

Are you closing cancer and auto immune clinics in your state?"
2022-07-16 06:39:59+00:00,"Indianas GOP Attorney General Todd Rokita thinks the villain in the rape of the 10-yr-old is her doctor

Not the rapist who raped her at least twice

Not the religious lunatics who enacted the 6-week abortion ban

Not the Ohioans who made her a refugee

But her doctor. Just wow"
2022-07-16 01:43:12+00:00,"Republicans just voted to empower states to arrest, punish or sue women for traveling out-of-state for an abortion and are now pushing for a NATIONAL BAN on abortion

So they were lying through their teeth when they said they were just gonna leave it up to the states

Shocker "
2022-07-15 19:42:41+00:00,I think unfortunately GOP messaging on trans people and CRT was working. But really seems like banning abortion for rape victims and making it extremely difficult to get a medical necessity abortion was just a bridge too far
2022-07-15 14:27:22+00:00,"Not only should survivors not have to endure being a public spectacle,  but abortion access is valid for far more than these tragic cases. It's medical care, full stop, and we don't need to entertain christofascist opinions in medicine or law. "
2022-07-14 22:38:33+00:00,"The most powerful lawyer in Indiana went on TV to jerk off with Tucker Carlson, lie about this Doctor, and show her name &amp; pic to the millions of inbred psychos who watch that show for the ""crime"" of... providing an abortion to a 10 year old rape victim"
2022-07-14 20:41:18+00:00,"Solidarity with everyone fighting to protect access to safe and legal abortion, now and forever. "
2022-07-14 19:32:27+00:00,"A 10-year old was raped by a man in his 20s. Not wanting to be the preteen mom of her rapist's baby, she couldn't get an abortion in  so she went to Indiana.

 would have forced her to give birth and wants the doctor who saved her life IN PRISON.

The  party. "
2022-07-14 19:18:44+00:00,"Sen Lankford just blocked protections for interstate travel for abortion

This is the same Lankford who said under oath that a 13-YR-OLD could consent to sex

Christian extremists who force birth on rape victims &amp; validate the rape of kids are the most dangerous ppl in the nation"
2022-07-14 18:11:25+00:00,"National Right to Life official who engineered many restrictive abortion laws

She shouldve had the baby. As many women who had kids as a result of rape she would understand the reason &amp; benefit of having the kid

Motherfucker, shes a 10 yr old rape victim, you heartless SOB"
