created_at,text
2022-06-09 12:54:59+00:00,"   To be fair, gun control in a city cant stop illegal guns from coming into anywhere but why make it easier for unstable people to get their hands on guns that are used to kill. I miss the NRA whos job was to teach gun safety and not fighting to keep guns in the hands of lunatics"
2022-06-09 06:28:02+00:00,"Apparently he's a graduate from 's new online educational seminar called ""How to Use Illogical Analogies to Defeat Your Own Argument""   

Steve Scalise said...nobody tried to get rid of airplanes after Sept. 11.  via "
2022-06-09 06:15:41+00:00,  You took this Left. Gun Control needs to happen to keep your kids/significant others safe. You are splitting hairs over a synonym I cant deal.
2022-06-09 03:48:44+00:00," Nah bruh. Just like Reagan changed the gun laws in California when the Panthers had weapons, if Blacks in cities got weapons, your handlers would pass gun control laws in a heartbeat."
2022-06-08 23:59:30+00:00,"Republican rush to react to threat to Republican policy maker 

YES!!!!!

Repuplican rush to react to implementing gun control after 19 elementary school children were slaughtered by a gunman.

NO!!!! 
NO!!!
I SAID HELL NO!!!!!! "
2022-06-08 23:44:36+00:00,"WAIT IN LINE DRUNK BRETT! When AGGRESSIVE gun control goes into place, well worry about your LYING trifling a**! "
2022-06-08 23:42:29+00:00,We will worry about Drunk Brett AFTER aggressive GUN CONTROL goes into place. WAIT IN LINE Brett!
2022-06-08 19:29:49+00:00," Next, we will have Alec  Baldwin speak on gun control."
2022-06-08 19:15:09+00:00,MSNBC's  Worries Dems Being Too Moderate on Gun Control 
2022-06-08 19:09:17+00:00,Networks Gush Over McConaughey Gun Control Pleas at The White House: 
2022-06-08 19:04:23+00:00,Sen. Pat Toomey: Biden Is Not Being Very Helpful in Reaching Across the Aisle on Gun Control 
2022-06-08 18:59:20+00:00,its so fucking dystopian that an 11yr survivor is speaking to the fucking government about gun control.
2022-06-08 18:38:22+00:00,"To be fair, the Texas legislature (thankfully) is a part time body that only meets for 4.5 months every other year.  They arent scheduled to be in session until January 2023.

THEN, they will ignore gun control (and fixing the grid). "
2022-06-08 14:15:00+00:00,"  That is exactly what Ive  started to see and here gun control folks start  another narrative, it has switched to semi auto guns. It NEVER about compromise with these fascist, its just ban them."
2022-06-08 12:03:06+00:00,"I'm just going to put this out in the universe. If you are a Texas law maker up for re-election and you are in my district, if you think making legislation to keep kids away from drag queens is more important than gun control, your ass is  with my vote come November."
2022-06-07 21:51:37+00:00,"Leader Mitch McConnell's dodging responses to enacting gun control.

If Republicans wont pass gun control then Voters should vote them and and vote for some that will!!!!"
2022-06-07 19:44:48+00:00,"   We already have ""reasonable gun control."" Evil will do evil no matter what laws you put in place. Stop trying to punish the millions of good and decent people for the actions of a few bad ones."
2022-06-07 12:48:12+00:00,"During the Robb Elementary shooting, fourth grader Miah Cerrillo covered herself in a friends blood and played dead to fool the gunman. Cerrillo will testify Wednesday as Congress considers gun control.

how many deaf (gun lobby payee) ears will that fall on?
"
2022-06-07 03:53:31+00:00,"Americans are using OWO Massacre to say tough gun control aint shit.. what happened there was a terrorist attack who access guns illegally but here, 18 yr old can buy assault rifle like candy.. is different yall"
2022-06-06 22:23:00+00:00,"Nets Pump Inflated Stat on Shootings to Push Gun Control, Absolve Far-Left Cities of Blame "
2022-06-06 22:22:04+00:00,What happened to 'common sense' gun laws?  urges the U.S. to adopt Japans occupation-era gun control 
2022-06-03 22:37:09+00:00," Heres an incentive how about we send all their asses to Ukraine since they obviously love them more than America. Then they can talk all they want about gun control, abortion rights and Bitcoin regulations. "
2022-06-03 21:50:20+00:00,  You ignore the FACT that only one country has daily mass shootings. Gun control is not repression but sane action.
2022-06-03 13:55:38+00:00,Theres no proof that genocides were made easier because of gun control. Do you also believe that women arent assaulted almost 8x as men by their intimate partner because they are less able to defend themselves than men?     
2022-06-03 12:06:31+00:00," I am upset President Biden that he does not call out no good Republicans as much as he should
GOP will never do anything on Gun Control or Women's right. When history is written years from now I am pretty sure it will not be favorable to many of you guys"
2022-06-03 00:44:48+00:00,If only they would channel that energy towards gun control!!! 
2022-06-03 00:01:54+00:00,  I speak for every reasonable American that bad guys don't give a god damn about reasoble gun control.
2022-06-02 21:32:01+00:00, Yeah they dont talk about the unending mass shootings in Chicago where it has strict gun control. If they acknowledge it then they couldnt make an argument about gun control. Remember US was founded on revolution not blind obedience. 
2022-06-02 17:14:59+00:00," Media, STOP calling it gun control! Use gun safety legislation, the preferred terminology of those seeking reform."
2022-06-02 12:36:16+00:00,  Lets focus on gun control only though thats how it works!!
2022-06-02 02:11:47+00:00," AR15s are Killing Kids in Schools and Ted Cruz is still pushing for no gun control 

 
"
2022-05-31 22:03:55+00:00,I agree we need to make changes to gun legislation to make sure that people with malicious intent cannot get their hands on a gun. But this is not an issue of either gun control or mental health. Its both. (4/
2022-05-30 18:43:45+00:00,"Helping a people resist genocide isn't ""wasting money.""
And we've already spent billions trying to do this.
It's the guns. We need gun control laws. Now. "
2022-05-30 18:27:39+00:00,"this whole school shooting problem could be solved so easily overnight, but yall dont know how to think outside the box. Gun control this, arm the teachers that. The solution is simple my friends. Legalize prostitution and bring back red light districts, BOOM"
2022-05-30 18:20:58+00:00,"  Gun control now, I think. "
2022-05-30 17:03:00+00:00,  It's Democrat land down there. I wouldn't be surprised if some agenda driven cop purposely stood the others down for that length of time just to alter the trajectory of the gun control debate.
2022-05-29 22:19:02+00:00,That's good gun control 
2022-05-29 19:53:31+00:00, A perfect example of why we NEED gun control.
2022-05-29 18:40:33+00:00,  Gun Control is big business it's not just the NRA profiting on this like the Anti-2nds claim. They are too!
2022-05-29 07:06:10+00:00,  But its easy to perceive how morally gratifying it must be to so many people to view the issue as those who favor gun control vs. those who favor mass murder. Treating the people who disagree with you like monsters is an easy fix to a complex problem.
2022-05-29 06:02:40+00:00, You mean like the gun control Democrats keep pushing?
2022-05-29 04:59:04+00:00,"Today at the  during one of my many interviews, one of the journalists asked me did I think fewer guns would make us safer.
I said, 10 years ago when I had a baby, I got rid of several guns I owned. I did GUN CONTROL IN MY OWN HOUSE. I didnt want that many guns in"
2022-05-29 03:45:17+00:00,. Runs Misleading Pro-Gun Control Fact Check of  
2022-05-29 03:43:51+00:00,"Bob Costas Waxes Poetic On , Misleadingly Compares Gun Control To Traffic Laws. "
2022-05-29 02:20:56+00:00," We must all say ""gun safety"" and retire the words ""gun control""."
2022-05-29 01:33:31+00:00, And someone who suffers from mental illness Im here to tell you that you are one dumb son of a bitch! Never once have I had the urge to go and slaughter 19 innocent children! No I dont own a gun and probably never will. Gun control works! We owe it the ourselves and future
2022-05-29 01:29:02+00:00,"    Thats weird. Never heard that. Still believe in gun control, and feel they would too but interesting point you raise. "
2022-05-29 01:23:17+00:00,"Stricter gun control, mental health background checks, criminal checks, waiting periods. Anything that delays the process of you getting access to a gun

I spoke with Houston local Aaliyah Pozo (20) about legislation she thinks would help prevent future shootings 1/3 "
2022-05-28 22:58:32+00:00,"We are protesting for gun control We want stricter guns laws. Were tired of hearing about shootings every other f****** day, were just tired.  

I spoke to this Houston local about his reasons for protesting the NRA convention today. 
   "
2022-05-28 21:03:48+00:00,"Commercilization before Rationalization.

If nothing else, some1 can always think of ways to make money before thinking of ways to enact gun control! "
2022-05-28 05:01:34+00:00,"Whether or not gun control, which I presume is what this referring to, is the best way to love people, this cliche is easily flipped on its head. It isn't necessaroly a universal truth if the vulnerable and I share the same rights."
2022-05-28 03:31:03+00:00,"And a majority of the guns used for those crimes came from states where it's easier to get them.
Gun control works. Make guns harder to get. Because that works. "
2022-05-28 03:17:16+00:00,"An assault weapons ban has been tried, and it worked.
Gun control works. Making guns harder to get works. "
2022-05-28 01:50:02+00:00," The first set to gun control is education. Here is a detailed description about legal and illegal rifles explained by law enforcement. Banning the AR-15 is like banning the color red on a vehicle. It will do nothing. 

"
